SAMPLE_ID,TRIP_ID,START_DATETIME,START_RKM,CATCH_PER_HOUR
451828,LC20140513,5/16/2014,2.85,1.17
451829,LC20140513,5/17/2014,2.85,0.08
451831,LC20140513,5/16/2014,2.84,0.38
451832,LC20140513,5/17/2014,2.84,0.23
451833,LC20140513,5/16/2014,2.83,2.29
451835,LC20140513,5/18/2014,2.54,0.32
451836,LC20140513,5/16/2014,2.5,2.02
451837,LC20140513,5/17/2014,2.5,0.22
451838,LC20140513,5/18/2014,2.5,0.14
451840,LC20140513,5/17/2014,2.49,1.46
451841,LC20140513,5/18/2014,2.49,0.26
451842,LC20140513,5/17/2014,2.4,0.23
451843,LC20140513,5/18/2014,2.4,0.17
451845,LC20140513,5/17/2014,2.3,0.05
451847,LC20140513,5/16/2014,2.22,0.33
451848,LC20140513,5/17/2014,2.22,0.10
451849,LC20140513,5/16/2014,2.19,2.06
451850,LC20140513,5/17/2014,2.19,0.05
451852,LC20140513,5/16/2014,2.1,0.54
451853,LC20140513,5/17/2014,2.1,0.32
451854,LC20140513,5/18/2014,2.1,0.23
451855,LC20140513,5/16/2014,2.05,0.95
451856,LC20140513,5/18/2014,2.03,0.22
451857,LC20140513,5/19/2014,1.9,0.20
451859,LC20140513,5/21/2014,1.9,0.35
451860,LC20140513,5/19/2014,1.94,0.87
451861,LC20140513,5/20/2014,1.94,0.25
451862,LC20140513,5/21/2014,1.94,0.22
451863,LC20140513,5/20/2014,1.58,0.37
451865,LC20140513,5/19/2014,1.51,0.04
451867,LC20140513,5/21/2014,1.51,0.38
451868,LC20140513,5/19/2014,1.36,0.05
451869,LC20140513,5/20/2014,1.36,0.09
451871,LC20140513,5/20/2014,1.11,0.04
451872,LC20140513,5/21/2014,1.11,0.12
451873,LC20140513,5/19/2014,1.26,0.20
451875,LC20140513,5/21/2014,1.26,2.22
451877,LC20140513,5/21/2014,1.15,0.21
451878,LC20140513,5/19/2014,0.78,0.42
451880,LC20140513,5/21/2014,0.78,0.09
451881,LC20140513,5/19/2014,0.74,0.10
451882,LC20140513,5/20/2014,0.74,0.40
451885,LC20140513,5/18/2014,2.83,0.38
451886,LC20140513,5/16/2014,2.81,0.47
451887,LC20140513,5/17/2014,2.81,0.12
451888,LC20140513,5/18/2014,2.81,0.19
451889,LC20140513,5/16/2014,2.54,1.40
451890,LC20140513,5/17/2014,2.54,0.33
451891,LC20140513,5/16/2014,2.45,0.20
451892,LC20140513,5/17/2014,2.45,0.45
451893,LC20140513,5/18/2014,2.45,0.09
451894,LC20140513,5/16/2014,2.42,0.44
451895,LC20140513,5/17/2014,2.42,0.14
451896,LC20140513,5/18/2014,2.42,0.47
451898,LC20140513,5/18/2014,2.22,0.45
451899,LC20140513,5/16/2014,2.21,1.08
451900,LC20140513,5/17/2014,2.21,0.50
451902,LC20140513,5/16/2014,2.1,0.81
451903,LC20140513,5/17/2014,2.1,0.05
451904,LC20140513,5/18/2014,2.1,0.08
451905,LC20140513,5/17/2014,2.05,0.55
451906,LC20140513,5/18/2014,2.05,0.08
451907,LC20140513,5/16/2014,2.03,0.98
451908,LC20140513,5/17/2014,2.03,0.74
451909,LC20140513,5/18/2014,2.03,0.26
451910,LC20140513,5/16/2014,2.03,0.74
451911,LC20140513,5/17/2014,2.03,0.30
451912,LC20140513,5/19/2014,1.8,0.58
451913,LC20140513,5/20/2014,1.8,0.10
451914,LC20140513,5/21/2014,1.8,0.29
451915,LC20140513,5/19/2014,1.68,0.42
451916,LC20140513,5/20/2014,1.68,0.43
451917,LC20140513,5/21/2014,1.68,0.37
451918,LC20140513,5/19/2014,1.58,2.06
451920,LC20140513,5/19/2014,1.34,1.96
451921,LC20140513,5/20/2014,1.34,0.52
451922,LC20140513,5/21/2014,1.34,0.58
451923,LC20140513,5/19/2014,1.33,0.28
451926,LC20140513,5/20/2014,1.22,0.04
451927,LC20140513,5/21/2014,1.22,0.16
451928,LC20140513,5/19/2014,1.17,0.10
451930,LC20140513,5/21/2014,1.17,0.17
451931,LC20140513,5/19/2014,1.15,0.10
451932,LC20140513,5/20/2014,1.15,0.37
451934,LC20140513,5/20/2014,0.62,0.04
451935,LC20140513,5/21/2014,0.62,0.13
451937,LC20140513,5/20/2014,0.53,0.04
451939,LC20140513,5/19/2014,0.49,0.33
451941,LC20140513,5/21/2014,0.49,0.09
451942,LC20140513,5/19/2014,0.31,0.11
451946,LC20140513,5/14/2014,4.92,0.04
451947,LC20140513,5/13/2014,4.9,0.05
451948,LC20140513,5/14/2014,4.9,0.16
451949,LC20140513,5/15/2014,4.9,0.38
451950,LC20140513,5/13/2014,5.3,0.29
451951,LC20140513,5/14/2014,5.3,0.17
451953,LC20140513,5/13/2014,5.73,0.26
451954,LC20140513,5/15/2014,5.76,0.54
451955,LC20140513,5/13/2014,5.85,0.19
451958,LC20140513,5/13/2014,5.93,0.14
451959,LC20140513,5/14/2014,5.93,0.28
451961,LC20140513,5/14/2014,6.05,0.15
451962,LC20140513,5/15/2014,6.05,0.08
451964,LC20140513,5/14/2014,6.06,0.05
451968,LC20140513,5/13/2014,6.31,0.09
451969,LC20140513,5/14/2014,6.31,0.31
451970,LC20140513,5/15/2014,6.31,0.19
451971,LC20140513,5/13/2014,6.35,0.35
451972,LC20140513,5/14/2014,6.35,0.48
451974,LC20140513,5/13/2014,6.38,0.46
451975,LC20140513,5/18/2014,6.57,0.09
451976,LC20140513,5/16/2014,6.61,0.93
451977,LC20140513,5/17/2014,6.61,0.12
451978,LC20140513,5/18/2014,6.61,0.46
451979,LC20140513,5/16/2014,6.62,1.87
451982,LC20140513,5/17/2014,6.78,0.09
451983,LC20140513,5/18/2014,6.78,0.13
451985,LC20140513,5/17/2014,6.85,0.14
451986,LC20140513,5/18/2014,6.85,0.21
451987,LC20140513,5/16/2014,7.06,0.45
