Sample,Length,Month,Year,RKM
451486,271,4,2014,8.23
451486,240,4,2014,8.23
451486,253,4,2014,8.23
451486,241,4,2014,8.23
451486,256,4,2014,8.23
451486,267,4,2014,8.23
451486,256,4,2014,8.23
451486,264,4,2014,8.23
451486,224,4,2014,8.23
451486,247,4,2014,8.23
451486,160,4,2014,8.23
451486,190,4,2014,8.23
451486,126,4,2014,8.23
451486,162,4,2014,8.23
451486,111,4,2014,8.23
451486,178,4,2014,8.23
451486,329,4,2014,8.23
451486,310,4,2014,8.23
451486,314,4,2014,8.23
451486,295,4,2014,8.23
451486,252,4,2014,8.23
451486,208,4,2014,8.23
451486,261,4,2014,8.23
451486,267,4,2014,8.23
451486,271,4,2014,8.23
451486,208,4,2014,8.23
451486,213,4,2014,8.23
451486,300,4,2014,8.23
451486,277,4,2014,8.23
451486,267,4,2014,8.23
451486,263,4,2014,8.23
451486,216,4,2014,8.23
451486,232,4,2014,8.23
451486,194,4,2014,8.23
451486,167,4,2014,8.23
451486,237,4,2014,8.23
451486,200,4,2014,8.23
451486,180,4,2014,8.23
451486,183,4,2014,8.23
451486,195,4,2014,8.23
451486,179,4,2014,8.23
451486,172,4,2014,8.23
451487,142,4,2014,8.23
451487,252,4,2014,8.23
451487,298,4,2014,8.23
451487,285,4,2014,8.23
451487,224,4,2014,8.23
451487,232,4,2014,8.23
451487,211,4,2014,8.23
451487,235,4,2014,8.23
451487,179,4,2014,8.23
451487,185,4,2014,8.23
451487,123,4,2014,8.23
451488,329,4,2014,8.23
451488,200,4,2014,8.23
451488,170,4,2014,8.23
451488,172,4,2014,8.23
451488,105,4,2014,8.23
451489,330,4,2014,8.28
451489,252,4,2014,8.28
451489,250,4,2014,8.28
451489,201,4,2014,8.28
451489,263,4,2014,8.28
451489,162,4,2014,8.28
451489,199,4,2014,8.28
451489,187,4,2014,8.28
451489,194,4,2014,8.28
451489,169,4,2014,8.28
451489,211,4,2014,8.28
451489,255,4,2014,8.28
451489,247,4,2014,8.28
451489,305,4,2014,8.28
451489,245,4,2014,8.28
451489,255,4,2014,8.28
451489,251,4,2014,8.28
451489,286,4,2014,8.28
451489,166,4,2014,8.28
451489,176,4,2014,8.28
451489,268,4,2014,8.28
451489,248,4,2014,8.28
451489,217,4,2014,8.28
451490,290,4,2014,8.28
451492,170,4,2014,8.45
451496,214,4,2014,8.49
451496,226,4,2014,8.49
451496,185,4,2014,8.49
451496,186,4,2014,8.49
451496,180,4,2014,8.49
451496,225,4,2014,8.49
451496,177,4,2014,8.49
451496,196,4,2014,8.49
451496,312,4,2014,8.49
451496,172,4,2014,8.49
451496,199,4,2014,8.49
451496,192,4,2014,8.49
451496,163,4,2014,8.49
451496,165,4,2014,8.49
451496,181,4,2014,8.49
451498,174,4,2014,8.69
451500,359,4,2014,8.8
451501,171,4,2014,8.8
451502,224,4,2014,9.06
451502,194,4,2014,9.06
451502,276,4,2014,9.06
451502,173,4,2014,9.06
451502,190,4,2014,9.06
451504,215,4,2014,9.06
451504,227,4,2014,9.06
451505,285,4,2014,9.31
451505,291,4,2014,9.31
451505,258,4,2014,9.31
451505,130,4,2014,9.31
451505,132,4,2014,9.31
